lon,lat,poly_area_deg2
-93.486887,21.725767,0.0031957705
-93.785312,21.757626,0.0014719742
-93.661475,21.871269,0.00092290793
-93.129592,21.898842,0.0020237004
-93.435925,21.877766,0.010445693
-93.282526,21.870956,0.017140588
-93.233666,22.051715,0.0040558403
-93.419889,22.072060,0.0049888609
-93.160837,22.129607,0.0031019
-93.117309,22.305599,0.0025661109
-93.290104,22.329586,0.0027948166
-93.198303,22.422881,0.0027597702
-93.174994,22.592890,0.0037920292
-93.270293,22.823936,0.0056593863
-92.741715,23.173466,0.0083914489
-92.551893,23.229810,0.014275882
-91.753420,23.392289,0.0033932522
-92.763882,23.384742,0.012651649
-92.434451,23.456259,0.011757251
-92.590922,23.450506,0.013027205
-92.161366,23.585439,0.0067230623
-91.431616,23.619896,0.0049030256
-92.376417,23.605288,0.016904359
-92.663763,23.662626,0.016119733
-91.945443,23.633732,0.039792758
-92.464523,23.775496,0.015065482
-92.174488,23.765572,0.031348098
-91.975134,23.940642,0.0071609029
-91.502125,24.274891,0.01370009
-90.047387,24.380086,0.0058343457
-90.305394,24.484786,0.0042192875
-90.181476,24.513005,0.0035385972
-84.916254,25.303150,0.0044099018
-85.159600,25.530841,0.0022641179
-95.483959,25.337082,0.15200291
-95.969056,25.381790,0.053452536
-85.119413,25.764509,0.0015410481
-85.254365,25.791485,0.0017697552
-95.773364,25.467333,0.1163243
-96.218245,25.844856,0.0018032372
-95.557555,25.752063,0.040196601
-95.191109,25.805151,0.024132671
-96.232294,25.908601,0.001810403
-96.222092,25.977392,0.001597866
-95.969497,26.020515,0.0020804643
-95.814194,25.939347,0.061406364
-95.134070,25.994807,0.019773809
-95.950689,26.089130,0.0018847483
-85.133819,26.093430,0.001659527
-96.064849,26.072106,0.0070926037
-95.392005,25.971940,0.061220238
-95.814047,26.129377,0.0074551002
-96.254589,26.105034,0.014996999
-95.193320,26.164781,0.0029582459
-92.796111,26.126824,0.014550687
-92.411543,25.953115,0.23469697
-96.195544,26.210115,0.0020173993
-95.080080,26.163369,0.010183184
-95.541078,26.160877,0.051973503
-91.662652,26.206551,0.014812127
-95.953567,26.184076,0.015087662
-95.365867,26.258070,0.0019775671
-96.206822,26.290708,0.0017004179
-95.117640,26.315200,0.007793529
-94.977019,26.315797,0.0058594108
-96.074154,26.360444,0.00048833315
-95.315955,26.340173,0.012530011
-92.437382,26.379297,0.0013005373
-95.987416,26.407556,0.00064474114
-96.024607,26.394031,0.0018193521
-96.283177,26.399689,0.00093774206
-92.696348,26.305240,0.036141602
-92.064037,26.278760,0.047029435
-95.593003,26.371020,0.0067311145
-96.183318,26.423646,0.0019506434
-93.010161,26.193768,0.099964913
-94.893957,26.255676,0.024670271
-96.126042,26.461481,0.00041172132
-85.293904,26.451232,0.0021636024
